"lsoa_code","study_area","ae_road_km","wimd_access_rank","mismatch_gap"
"W01000431","Powys",57.674,1787,85.4651162790698
"W01000454","Powys",69.994,1444,78.7790697674419
"W01000432","Powys",58.313,1568,77.0348837209302
"W01000466","Powys",48.275,1710,76.7441860465116
"W01000467","Powys",49.365,1616,75.2906976744186
"W01000527","Ceredigion",40.277,1706,72.093023255814
"W01000479","Powys",69.192,1099,67.4418604651163
"W01000446","Powys",57.239,1272,65.6976744186047
"W01000499","Powys",48.393,1356,64.5348837209302
"W01000449","Powys",93.611,937,64.2441860465116
"W01000510","Ceredigion",43.135,1397,64.2441860465116
"W01000506","Ceredigion",26.628,1727,61.6279069767442
"W01000480","Powys",70.717,921,59.8837209302326
"W01001903","Powys",32.81,1508,59.0116279069767
"W01000492","Powys",31.373,1570,58.4302325581395
"W01000486","Powys",91.222,791,57.2674418604651
"W01000455","Powys",71.977,762,55.2325581395349
"W01000600","Pembrokeshire",18.577,1851,54.9418604651163
"W01000448","Powys",93.264,689,52.906976744186
"W01000619","Pembrokeshire",31.648,1394,52.6162790697674
